num_leaves,max_depth,learning_rate,min_split_gain,reg_alpha,reg_lambda,seed,roc_auc
66,1,0.14314333057520207,0.17531867255614336,0.0777658219060536,0.024735906069259753,2360,0.5916266910654124
65,1,0.21813675090766493,0.00418844902914832,0.44189381554171403,0.49064259755314116,2609,0.5889230578437654
68,1,0.10343204202139265,0.08003448040182431,0.39617958507882395,0.3850035616186068,758,0.5927609051075442
58,3,0.4785221907657434,0.012599251326538592,0.2745352556100687,0.04685496100222619,1206,0.5549796295022645
64,2,0.11637204244854954,0.05159594366363745,0.05435203562261854,0.21185668428661478,228,0.5827184907148114
30,99,0.10015513723684687,0.04383578234748446,0.24209063356863714,0.3098604447535392,1677,0.5582660409207909
2,99,0.3573409985145297,0.04534747488725103,0.44967282240309714,0.1304841840867944,65,0.5849448130912738
64,1,0.46661977695268153,0.002220423307557556,0.13324550905145302,0.4995141310358732,2666,0.5815263982479694
5,1,0.13472719270764913,0.004952652273630224,0.4179549702743241,0.0956806913393817,2358,0.5920398956319999
15,100,0.11798326722324735,0.017240438653782574,0.36729167261333134,0.17535828145451343,2603,0.5531317169434993
8,2,0.10227901775112397,0.0020722098835461687,0.48793046900630954,0.0028538814794148537,262,0.5840829999626329
100,98,0.4563760045011198,0.0017759351178004328,0.4239210242413761,0.08671271358346659,2234,0.5224914881483941
40,2,0.48521456733400015,0.0027109504142473883,0.08045317545723409,0.2903547981001433,1717,0.5590030938895005
26,1,0.44109877625940486,0.28284388116547304,0.33659987253933776,0.0825103554217858,2706,0.5824722197100203
24,100,0.10826575408536604,0.18433676839623644,0.03223440327226475,0.239910635391054,3142,0.5532424644321848
100,1,0.29315155313054264,0.10436850729597805,0.4115550356326197,0.2659093946909408,1339,0.5870465106959328
67,18,0.1081905656550096,0.04336668576979353,0.34813393318428276,0.015521611342933254,1235,0.5459394934209494
2,52,0.42591460771253076,0.003975195073177057,0.2992309615487012,0.139133087123463,2164,0.582823416513994
2,1,0.1,0.1231834848303487,0.4292708067593678,0.22768875872399133,748,0.5927485170938342
88,100,0.18060138123366148,0.35546293094102965,0.3650626500611847,0.2404121945221616,146,0.5402843313153282
22,1,0.5,0.05212789855290791,0.31403172135113955,0.15792358394972236,722,0.5815021637730614
31,1,0.4506981198115082,0.4845608736170721,0.40815571761888547,0.4998002968863064,1469,0.5815071731337965
99,11,0.10722190281605984,0.00980126118837631,0.3866309978267329,0.026113076650939853,485,0.5328944411259311
2,65,0.2451915539010381,0.0010152477040891675,0.2663622073787302,0.1939818170297667,1238,0.5878899787332328
39,64,0.1,0.1185182475190798,0.03374797726436937,0.0936642076631331,494,0.5522569742486365
2,40,0.4581029102983166,0.0702388504987477,0.42277029426873547,0.3713440525341738,2849,0.5826103156005574
18,42,0.1033023471066764,0.143739032683202,0.10882966804723553,0.46814896280969814,3095,0.5662594913847119
7,100,0.4617360577379275,0.4912099319161833,0.13879950399877897,0.4451416512365029,1210,0.5464662886269099
2,2,0.307138318605658,0.34523730684259213,0.33555280708129975,0.06641807645996242,2849,0.5855992116078532
2,88,0.4816572493512362,0.0007625968992923111,0.3061395720301365,0.22070553315528796,1348,0.5813887085218161
100,67,0.49608645442193144,0.0008236961702348256,0.41838554604251715,0.42358319381729914,1954,0.5297390854152868
100,3,0.49529965148883137,0.17635966697051547,0.3354805526479487,0.25421796417096704,184,0.5337946367888535
2,40,0.1214598201439556,0.03156714736863976,0.15353918448626272,0.08695825983182671,554,0.5922911083034621
50,100,0.4980594813423421,0.0016742290416749401,0.15701776248304428,0.22467067959648046,2207,0.5294604566479091
76,43,0.10147974097794035,0.07287717105086253,0.12941821424691236,0.27610430300722394,419,0.547110329951699
2,67,0.10964595200143258,0.3523611904111661,0.497486960343489,0.028339464150125556,6,0.5925239081895195
92,64,0.10335369103099673,0.039898059267886414,0.3493978214908501,0.03256883494938146,3080,0.5407994831422827
51,57,0.10180363358499363,0.1868787170673498,0.06497508804981311,0.2355734504034902,603,0.5524417790433258
83,99,0.49322322126823936,0.016817754850146648,0.1854964593261902,0.08536846219142409,2445,0.512318424212163
53,1,0.10701421692874247,0.11648993150795285,0.1021676189982051,0.143080440461812,133,0.5925967470023714
97,1,0.26161215465213333,0.08344099564158079,0.3181210789158309,0.05331258341547244,976,0.5884969237109561
57,4,0.10241708153393067,0.000569137509038357,0.37646083634276956,0.3739357277025329,246,0.5636860338481151
2,78,0.1,0.46068427919847255,1e-06,1e-06,3200,0.5926500899247946
2,1,0.1,0.49999999999999994,1e-06,0.5,3200,0.5926527976873541
2,82,0.1,0.010049003195502618,0.42475293931970287,0.1306021965950354,429,0.5927877796509478
49,1,0.4548911327865548,0.007254096919179647,0.4837375277450113,0.4010362589995598,77,0.5821902062394431
83,1,0.1,0.0564912161090335,0.07769418150818234,0.20842155617709243,3200,0.5927718038518464
